t,Q1,T1
0.000000000000000000e+00,8.000000000000000000e+01,1.983500000000000085e+01
1.000000000000000000e+00,8.000000000000000000e+01,1.986700000000000088e+01
2.000000000000000000e+00,8.000000000000000000e+01,1.993199999999999861e+01
3.000000000000000000e+00,8.000000000000000000e+01,1.993199999999999861e+01
4.000000000000000000e+00,8.000000000000000000e+01,1.989900000000000091e+01
5.000000000000000000e+00,8.000000000000000000e+01,1.989900000000000091e+01
6.000000000000000000e+00,8.000000000000000000e+01,1.996399999999999864e+01
7.000000000000000000e+00,8.000000000000000000e+01,1.993199999999999861e+01
8.000000000000000000e+00,8.000000000000000000e+01,1.993199999999999861e+01
9.000000000000000000e+00,8.000000000000000000e+01,2.002799999999999869e+01
1.000000000000000000e+01,8.000000000000000000e+01,2.009299999999999997e+01
1.100000000000000000e+01,8.000000000000000000e+01,2.009299999999999997e+01
1.200000000000000000e+01,8.000000000000000000e+01,2.006099999999999994e+01
1.300000000000000000e+01,8.000000000000000000e+01,2.022200000000000131e+01
1.400000000000000000e+01,8.000000000000000000e+01,2.028600000000000136e+01
1.500000000000000000e+01,8.000000000000000000e+01,2.035099999999999909e+01
1.600000000000000000e+01,8.000000000000000000e+01,2.051200000000000045e+01
1.700000000000000000e+01,8.000000000000000000e+01,2.057600000000000051e+01
1.800000000000000000e+01,8.000000000000000000e+01,2.067299999999999827e+01
1.900000000000000000e+01,8.000000000000000000e+01,2.083399999999999963e+01
2.000000000000000000e+01,8.000000000000000000e+01,2.083399999999999963e+01
2.100000000000000000e+01,8.000000000000000000e+01,2.093100000000000094e+01
2.200000000000000000e+01,8.000000000000000000e+01,2.112399999999999878e+01
2.300000000000000000e+01,8.000000000000000000e+01,2.122100000000000009e+01
2.400000000000000000e+01,8.000000000000000000e+01,2.138200000000000145e+01
2.500000000000000000e+01,8.000000000000000000e+01,2.154299999999999926e+01
2.600000000000000000e+01,8.000000000000000000e+01,2.164000000000000057e+01
2.700000000000000000e+01,8.000000000000000000e+01,2.183299999999999841e+01
2.800000000000000000e+01,8.000000000000000000e+01,2.199399999999999977e+01
2.900000000000000000e+01,8.000000000000000000e+01,2.218799999999999883e+01
3.000000000000000000e+01,8.000000000000000000e+01,2.225199999999999889e+01
3.100000000000000000e+01,8.000000000000000000e+01,2.238100000000000023e+01
3.200000000000000000e+01,8.000000000000000000e+01,2.263899999999999935e+01
3.300000000000000000e+01,8.000000000000000000e+01,2.273499999999999943e+01
3.400000000000000000e+01,8.000000000000000000e+01,2.286400000000000077e+01
3.500000000000000000e+01,8.000000000000000000e+01,2.312199999999999989e+01
3.600000000000000000e+01,8.000000000000000000e+01,2.318700000000000117e+01
3.700000000000000000e+01,8.000000000000000000e+01,2.344399999999999906e+01
3.800000000000000000e+01,8.000000000000000000e+01,2.370200000000000173e+01
3.900000000000000000e+01,8.000000000000000000e+01,2.379899999999999949e+01
4.000000000000000000e+01,8.000000000000000000e+01,2.405699999999999861e+01
4.100000000000000000e+01,8.000000000000000000e+01,2.412099999999999866e+01
4.200000000000000000e+01,8.000000000000000000e+01,2.444300000000000139e+01
4.300000000000000000e+01,8.000000000000000000e+01,2.466900000000000048e+01
4.400000000000000000e+01,8.000000000000000000e+01,2.479799999999999827e+01
4.500000000000000000e+01,8.000000000000000000e+01,2.499099999999999966e+01
4.600000000000000000e+01,8.000000000000000000e+01,2.512000000000000099e+01
4.700000000000000000e+01,8.000000000000000000e+01,2.541000000000000014e+01
4.800000000000000000e+01,8.000000000000000000e+01,2.563599999999999923e+01
4.900000000000000000e+01,8.000000000000000000e+01,2.569999999999999929e+01
5.000000000000000000e+01,8.000000000000000000e+01,2.598999999999999844e+01
5.100000000000000000e+01,8.000000000000000000e+01,2.631299999999999883e+01
5.200000000000000000e+01,8.000000000000000000e+01,2.644099999999999895e+01
5.300000000000000000e+01,8.000000000000000000e+01,2.669900000000000162e+01
5.400000000000000000e+01,8.000000000000000000e+01,2.689300000000000068e+01
5.500000000000000000e+01,8.000000000000000000e+01,2.711799999999999855e+01
5.600000000000000000e+01,8.000000000000000000e+01,2.731200000000000117e+01
5.700000000000000000e+01,8.000000000000000000e+01,2.747299999999999898e+01
5.800000000000000000e+01,8.000000000000000000e+01,2.766600000000000037e+01
5.900000000000000000e+01,8.000000000000000000e+01,2.795599999999999952e+01
6.000000000000000000e+01,8.000000000000000000e+01,2.818199999999999861e+01
6.100000000000000000e+01,8.000000000000000000e+01,2.834299999999999997e+01
6.200000000000000000e+01,8.000000000000000000e+01,2.856800000000000139e+01
6.300000000000000000e+01,8.000000000000000000e+01,2.882600000000000051e+01
6.400000000000000000e+01,8.000000000000000000e+01,2.901999999999999957e+01
6.500000000000000000e+01,8.000000000000000000e+01,2.927700000000000102e+01
6.600000000000000000e+01,8.000000000000000000e+01,2.943799999999999883e+01
6.700000000000000000e+01,8.000000000000000000e+01,2.972899999999999920e+01
6.800000000000000000e+01,8.000000000000000000e+01,2.995400000000000063e+01
6.900000000000000000e+01,8.000000000000000000e+01,3.021199999999999974e+01
7.000000000000000000e+01,8.000000000000000000e+01,3.043799999999999883e+01
7.100000000000000000e+01,8.000000000000000000e+01,3.059900000000000020e+01
7.200000000000000000e+01,8.000000000000000000e+01,3.088899999999999935e+01
7.300000000000000000e+01,8.000000000000000000e+01,3.121099999999999852e+01
7.400000000000000000e+01,8.000000000000000000e+01,3.127499999999999858e+01
7.500000000000000000e+01,8.000000000000000000e+01,3.156500000000000128e+01
7.600000000000000000e+01,8.000000000000000000e+01,3.175900000000000034e+01
7.700000000000000000e+01,8.000000000000000000e+01,3.195200000000000173e+01
7.800000000000000000e+01,8.000000000000000000e+01,3.230700000000000216e+01
7.900000000000000000e+01,8.000000000000000000e+01,3.250000000000000000e+01
8.000000000000000000e+01,8.000000000000000000e+01,3.272599999999999909e+01
8.100000000000000000e+01,8.000000000000000000e+01,3.272599999999999909e+01
8.200000000000000000e+01,8.000000000000000000e+01,3.311200000000000188e+01
8.300000000000000000e+01,8.000000000000000000e+01,3.330599999999999739e+01
8.400000000000000000e+01,8.000000000000000000e+01,3.346699999999999875e+01
8.500000000000000000e+01,8.000000000000000000e+01,3.375699999999999790e+01
8.600000000000000000e+01,8.000000000000000000e+01,3.404699999999999704e+01
8.700000000000000000e+01,8.000000000000000000e+01,3.411099999999999710e+01
8.800000000000000000e+01,8.000000000000000000e+01,3.440100000000000335e+01
8.900000000000000000e+01,8.000000000000000000e+01,3.459499999999999886e+01
9.000000000000000000e+01,8.000000000000000000e+01,3.482000000000000028e+01
9.100000000000000000e+01,8.000000000000000000e+01,3.507800000000000296e+01
9.200000000000000000e+01,8.000000000000000000e+01,3.517499999999999716e+01
9.300000000000000000e+01,8.000000000000000000e+01,3.549699999999999989e+01
9.400000000000000000e+01,8.000000000000000000e+01,3.549699999999999989e+01
9.500000000000000000e+01,8.000000000000000000e+01,3.588400000000000034e+01
9.600000000000000000e+01,8.000000000000000000e+01,3.597999999999999687e+01
9.700000000000000000e+01,8.000000000000000000e+01,3.630299999999999727e+01
9.800000000000000000e+01,8.000000000000000000e+01,3.646399999999999864e+01
9.900000000000000000e+01,8.000000000000000000e+01,3.672200000000000131e+01
1.000000000000000000e+02,8.000000000000000000e+01,3.694700000000000273e+01
